"King, Angus (I-ME)",Senate,"$35,600"
"Schultz, Debbie Wasserman (D-FL)",House,"$28,600"
"McCaskill, Claire (D-MO)",Senate,"$16,200"
"Nelson, Bill (D-FL)",Senate,"$13,500"
"Rosen, Jacky (D-NV)",House,"$13,300"
"Lowey, Nita M (D-NY)",House,"$11,800"
"Casey, Bob (D-PA)",Senate,"$10,800"
"Gillibrand, Kirsten (D-NY)",Senate,"$10,800"
"Meier, Edward (D-TX)",House,"$10,800"
"Pingree, Chellie (D-ME)",House,"$10,800"
"Schumer, Charles E (D-NY)",Senate,"$10,800"
"Tester, Jon (D-MT)",Senate,"$10,800"
"Whitehouse, Sheldon (D-RI)",Senate,"$10,800"
"Porter, Katie (D-CA)",House,"$10,600"
"Fletcher, Lizzie (D-TX)",House,"$9,100"
"Friedman, Alison (D-VA)",House,"$8,100"
"Jones, Gina (D-TX)",House,"$8,100"
"Wilson, Jenny (D-UT)",Senate,"$8,100"
"Hill, Katie (D-CA)",House,"$7,900"
"Lee, Susie (D-NV)",House,"$6,400"
"Mucarsel-Powell, Debbie (D-FL)",House,"$6,400"
"Schrier, Kim (D-WA)",House,"$6,400"
"Sherrill, Mikie (D-NJ)",House,"$6,400"
"Baer, Lauren (D-FL)",House,"$5,400"
"Baldwin, Tammy (D-WI)",Senate,"$5,400"
"Barragan, Nanette (D-CA)",House,"$5,400"
"Barzee Flores, Mary (D-FL)",House,"$5,400"
"Bera, Ami (D-CA)",House,"$5,400"
"Brindisi, Anthony (D-NY)",House,"$5,400"
"Brown, Lisa (D-WA)",House,"$5,400"
"Brown, Sherrod (D-OH)",Senate,"$5,400"
"Bryce, Randy (D-WI)",House,"$5,400"
"Bustos, Cheri (D-IL)",House,"$5,400"
"Cantwell, Maria (D-WA)",Senate,"$5,400"
"Carbajal, Salud (D-CA)",House,"$5,400"
"Carlson, Kristen (D-FL)",House,"$5,400"
"Carrillo, Wendy (D-CA)",House,"$5,400"
"Cartwright, Matt (D-PA)",House,"$5,400"
"Cicilline, David (D-RI)",House,"$5,400"
"Cisneros, Gil (D-CA)",House,"$5,400"
"Courtney, Joe (D-CT)",House,"$5,400"
"Cox, TJ (D-CA)",House,"$5,400"
"Craig, Angie (D-MN)",House,"$5,400"
"Crist, Charlie (D-FL)",House,"$5,400"
"Crow, Jason (D-CO)",House,"$5,400"
"Davis, Paul (D-KS)",House,"$5,400"
"DeFazio, Peter (D-OR)",House,"$5,400"
"Deutch, Ted (D-FL)",House,"$5,400"
"Driskell, Gretchen (D-MI)",House,"$5,400"
"Escobar, Veronica (D-TX)",House,"$5,400"
"Feinstein, Dianne (D-CA)",Senate,"$5,400"
"Finkenauer, Abby (D-IA)",House,"$5,400"
"Flores, Sol (D-IL)",House,"$5,400"
"Gershon, Perry (D-NY)",House,"$5,400"
"Gottheimer, Josh (D-NJ)",House,"$5,400"
"Harbaugh, Ken (D-OH)",House,"$5,400"
"Hartman, Christina (D-PA)",House,"$5,400"
"Heck, Dennis (D-WA)",House,"$5,400"
"Heinrich, Martin (D-NM)",Senate,"$5,400"
"Heitkamp, Heidi (D-ND)",Senate,"$5,400"
"Hirono, Mazie K (D-HI)",Senate,"$5,400"
"Houlahan, Chrissy (D-PA)",House,"$5,400"
"Jacobs, Sara (D-CA)",House,"$5,400"
"Keating, Bill (D-MA)",House,"$5,400"
"Kelly, Brendan (D-IL)",House,"$5,400"
"Kildee, Dan (D-MI)",House,"$5,400"
"Kilmer, Derek (D-WA)",House,"$5,400"
"Kim, Andy (D-NJ)",House,"$5,400"
"Kind, Ron (D-WI)",House,"$5,400"
"Kirkpatrick, Ann (D-AZ)",House,"$5,400"
"Klobuchar, Amy (D-MN)",Senate,"$5,400"
"Kuster, Ann (D-NH)",House,"$5,400"
"Loebsack, David (D-IA)",House,"$5,400"
"Londrigan, Betsy Dirksen (D-IL)",House,"$5,400"
"Lujan, Ben R (D-NM)",House,"$5,400"
"Luria, Elaine (D-VA)",House,"$5,400"
"Malinowski, Tom (D-NJ)",House,"$5,400"
"Maloney, Carolyn B (D-NY)",House,"$5,400"
"Maloney, Sean Patrick (D-NY)",House,"$5,400"
"Manchin, Joe (D-WV)",Senate,"$5,400"
"Manning, Kathy (D-NC)",House,"$5,400"
"Mazeski, Kelly (D-IL)",House,"$5,400"
