"Pompeo, Mike (R-KS)",House,"$71,100"
"Blunt, Roy (R-MO)",Senate,"$40,700"
"Ryan, Paul (R-WI)",House,"$40,022"
"Johnson, Ron (R-WI)",Senate,"$34,875"
"Moran, Jerry (R-KS)",Senate,"$34,800"
"Lankford, James (R-OK)",Senate,"$31,600"
"Heck, Joe (R-NV)",House,"$26,200"
"Scott, Tim (R-SC)",Senate,"$26,200"
"Rubio, Marco (R-FL)",Senate,"$26,140"
"Ayotte, Kelly (R-NH)",Senate,"$20,800"
"Portman, Rob (R-OH)",Senate,"$20,300"
"Toomey, Pat (R-PA)",Senate,"$19,000"
"Lee, Mike (R-UT)",Senate,"$18,300"
"DeSantis, Ron (R-FL)",House,"$15,000"
"Hudson, Richard (R-NC)",House,"$15,000"
"McHenry, Patrick (R-NC)",House,"$15,000"
"Grothman, Glenn S (R-WI)",House,"$12,500"
"Isakson, Johnny (R-GA)",Senate,"$12,500"
"Wolf, August (R-CT)",Senate,"$11,800"
"Valadao, David (R-CA)",House,"$11,667"
"Comstock, Barbara (R-VA)",House,"$11,500"
"Scalise, Steve (R-LA)",House,"$11,000"
"Yoder, Kevin (R-KS)",House,"$11,000"
"Graves, Garret (R-LA)",House,"$10,500"
"Kennedy, John (R-LA)",Senate,"$10,500"
"Stefanik, Elise (R-NY)",House,"$10,500"
"Young, Todd (R-IN)",House,"$10,500"
"Hurd, Will (R-TX)",House,"$10,250"
"McCaul, Michael (R-TX)",House,"$10,250"
"Paul, Rand (R-KY)",Senate,"$10,250"
"Smith, Lamar (R-TX)",House,"$10,250"
"Amash, Justin (R-MI)",House,"$10,000"
"Black, Diane (R-TN)",House,"$10,000"
"Blackburn, Marsha (R-TN)",House,"$10,000"
"Blum, Rod (R-IA)",House,"$10,000"
"Boozman, John (R-AR)",Senate,"$10,000"
"Bost, Mike (R-IL)",House,"$10,000"
"Brady, Kevin (R-TX)",House,"$10,000"
"Buck, Kenneth R (R-CO)",House,"$10,000"
"Burr, Richard (R-NC)",Senate,"$10,000"
"Chaffetz, Jason (R-UT)",House,"$10,000"
"Coffman, Mike (R-CO)",House,"$10,000"
"Conaway, Mike (R-TX)",House,"$10,000"
"Cramer, Kevin (R-ND)",House,"$10,000"
"Crapo, Mike (R-ID)",Senate,"$10,000"
"Culberson, John (R-TX)",House,"$10,000"
"Curbelo, Carlos (R-FL)",House,"$10,000"
"Denham, Jeff (R-CA)",House,"$10,000"
"Dent, Charlie (R-PA)",House,"$10,000"
"Duffy, Sean P (R-WI)",House,"$10,000"
"Duncan, Jeff (R-SC)",House,"$10,000"
"Farenthold, Blake (R-TX)",House,"$10,000"
"Faso, John (R-NY)",House,"$10,000"
"Flores, Bill (R-TX)",House,"$10,000"
"Gallagher, Mike (R-WI)",House,"$10,000"
"Garrett, Scott (R-NJ)",House,"$10,000"
"Gohmert, Louis B Jr (R-TX)",House,"$10,000"
"Gowdy, Trey (R-SC)",House,"$10,000"
"Graves, Tom (R-GA)",House,"$10,000"
"Griffith, Morgan (R-VA)",House,"$10,000"
"Guinta, Frank (R-NH)",House,"$10,000"
"Guthrie, Brett (R-KY)",House,"$10,000"
"Hardy, Cresent (R-NV)",House,"$10,000"
"Harris, Andy (R-MD)",House,"$10,000"
"Hensarling, Jeb (R-TX)",House,"$10,000"
"Huelskamp, Tim (R-KS)",House,"$10,000"
"Huizenga, Bill (R-MI)",House,"$10,000"
"Jenkins, Evan (R-WV)",House,"$10,000"
"Johnson, Bill (R-OH)",House,"$10,000"
"Jordan, Jim (R-OH)",House,"$10,000"
"Katko, John (R-NY)",House,"$10,000"
"Kelly, Mike (R-PA)",House,"$10,000"
"Labrador, Raul (R-ID)",House,"$10,000"
"Lamborn, Douglas L (R-CO)",House,"$10,000"
"Long, Billy (R-MO)",House,"$10,000"
"Love, Mia (R-UT)",House,"$10,000"
"McCarthy, Kevin (R-CA)",House,"$10,000"
"McClintock, Tom (R-CA)",House,"$10,000"
"Messer, Luke (R-IN)",House,"$10,000"
"Mills, Stewart (R-MN)",House,"$10,000"
"Mullin, Markwayne (R-OK)",House,"$10,000"
"Mulvaney, Mick (R-SC)",House,"$10,000"
"Noem, Kristi (R-SD)",House,"$10,000"
"Nunes, Devin (R-CA)",House,"$10,000"
"Olson, Pete (R-TX)",House,"$10,000"
"Paulsen, Erik (R-MN)",House,"$10,000"
"Perry, Scott (R-PA)",House,"$10,000"
"Peterson, Collin (D-MN)",House,"$10,000"
"Poliquin, Bruce (R-ME)",House,"$10,000"
"Price, Tom (R-GA)",House,"$10,000"
"Roskam, Peter (R-IL)",House,"$10,000"
"Rothfus, Keith J (R-PA)",House,"$10,000"
"Schweikert, David (R-AZ)",House,"$10,000"
"Scott, Austin (R-GA)",House,"$10,000"
"Sessions, Pete (R-TX)",House,"$10,000"
"Shelby, Richard C (R-AL)",Senate,"$10,000"
"Shuster, Bill (R-PA)",House,"$10,000"
"Tiberi, Pat (R-OH)",House,"$10,000"
"Tipton, Scott (R-CO)",House,"$10,000"
"Upton, Fred (R-MI)",House,"$10,000"
"Walberg, Tim (R-MI)",House,"$10,000"
"Walden, Greg (R-OR)",House,"$10,000"
"Woodall, Rob (R-GA)",House,"$10,000"
"Zeldin, Lee (R-NY)",House,"$10,000"
"Cruz, Ted (R-TX)",Senate,"$9,884"
"Yoho, Ted (R-FL)",House,"$9,167"
"Clinton, Hillary (D)",Pres,"$8,840"
"Bridenstine, James (R-OK)",House,"$8,000"
"Aderholt, Robert B (R-AL)",House,"$7,500"
"Collins, Doug (R-GA)",House,"$7,500"
